id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
24729874,Big modern apartment 18min from Stockholm City!,111102210,Carolina,,Rinkeby-Tensta,59.41012236038574,17.92101371660316,Entire home/apt,648,1,5,2018-11-05,1.47,1,129
24731017,Romantic Studio in Trendy Södermalm,16683151,Olof,,Södermalms,59.31554967627506,18.033330491674523,Entire home/apt,973,4,31,2018-11-04,4.70,5,325
24731113,Supernice spacious top floor duplex in Södermalm,13269176,Jeanna,,Södermalms,59.31698650421067,18.05047924851421,Entire home/apt,2449,7,1,2018-11-05,1,1,91
24732751,Charming Scandi 2-room apartment,44533292,Tina,,Norrmalms,59.34709247091965,18.058922581946458,Entire home/apt,1198,2,2,2018-08-20,0.34,1,317
24733470,Uthyres  Södermalm Stockholm,186895489,Kerstin,,Södermalms,59.32133878707281,18.024423229851465,Private room,504,1,37,2018-11-16,5.44,1,363
24752100,Comfy room in friendly neighbourhood,86321658,Agneta,,Hägersten-Liljeholmens,59.28760894329395,17.96860472614065,Private room,360,1,21,2018-11-03,3.77,2,56
24761551,Stor lägenhet i centrala Stockholm,107570440,Susanna,,Södermalms,59.316094046746805,18.04243978940986,Entire home/apt,1000,2,6,2018-08-09,1.06,1,148
24765180,Aspuddens finest! Beauty right next to the subway.,2998753,Chiara,,Hägersten-Liljeholmens,59.305433077447105,18.000008204348116,Entire home/apt,1252,1,6,2018-11-04,1.13,1,0
24767702,Cozy 3 room apt in lovely Aspudden! 1min to subway,70625705,Filippa,,Hägersten-Liljeholmens,59.30579433562506,17.989647966393967,Entire home/apt,1054,2,4,2018-08-04,0.94,1,25
24767709,"Room with a view, Breakfast and Parking in Bromma",144048943,Stefan,,Bromma,59.325495419266566,17.938762261751926,Private room,792,1,21,2018-10-17,3.52,1,181
24768561,Top fresh apartment in Stockholm City,187262078,Maja,,Kungsholmens,59.3293996483933,18.049857116290077,Entire home/apt,991,2,10,2018-08-17,1.73,1,287
24771239,"Studio apartment, central Sthlm - perfect location",47450828,Carin,,Östermalms,59.339344606721944,18.084915955065977,Entire home/apt,801,2,5,2018-07-16,0.78,1,0
24772239,Spacious charming apartment in SOFO Södermalm,8259624,Annelie,,Södermalms,59.31116234898648,18.07613306599681,Entire home/apt,2800,3,2,2018-07-15,0.36,1,177
24772922,Lovely studio apartment on Kungsholmen,76168633,Linnea,,Kungsholmens,59.32962573874744,18.00641569033266,Entire home/apt,783,1,2,2018-08-21,0.38,1,0
24773780,"4 room Family friendly at Södermalm, Stockholm",69626229,Marie,,Södermalms,59.30699976764274,18.09153007734168,Entire home/apt,1351,4,2,2018-08-01,0.30,1,0
24774827,Treetops & massage,72414764,Therese,,Farsta,59.263145642352335,18.076120592715366,Private room,450,1,2,2018-11-10,2,1,63
24775666,Very nice apartment in Stockholm.,83675076,Matilda,,Bromma,59.35042701894238,17.88062017311694,Entire home/apt,702,3,4,2018-08-27,0.65,1,0
24785705,Large apartment in the heart of Södermalm,2144361,Martina,,Södermalms,59.310909699949015,18.06201039639971,Entire home/apt,1603,2,8,2018-11-04,1.39,1,3
24785900,Lägenhet mitt i Gamla Stan vid Brända tomten,187072248,Claes,,Södermalms,59.32665972099697,18.07159598787752,Entire home/apt,1054,4,0,,,1,0
24787894,Room for both singel travellers and families,5938630,Lidija,,Hägersten-Liljeholmens,59.30979225168082,18.02086904366275,Private room,297,2,24,2018-10-13,3.77,1,0
24789453,Villa i Älvsjö 15 min till Sthlm city,187429929,Marie,,Enskede-Årsta-Vantörs,59.26972445211534,18.01872571651448,Entire home/apt,1999,3,1,2018-07-15,0.23,1,0
24795675,Top floor apartment with balcony in Stockholm,13801889,Louise,,Östermalms,59.34194817964698,18.0929225771342,Entire home/apt,1198,2,0,,,1,0
24800910,"Very cosy apartment, awesome location!",187497780,Teo,,Södermalms,59.31709791590673,18.051468689753616,Entire home/apt,747,2,16,2018-10-06,2.57,1,0
24803127,Private townhouse w quiet courtyard at Mariatorget,9055400,Tobias,,Södermalms,59.31723359059255,18.0668849082132,Entire home/apt,1153,6,2,2018-06-19,0.38,1,69
24803709,Rymlig trea med uteplats,187518169,Calle,,Skarpnäcks,59.26508762898219,18.131185018934385,Entire home/apt,441,6,2,2018-08-02,0.46,1,1
24815212,Central lägenhet med panoramautsikt mot park,32063097,Sofia,,Kungsholmens,59.332315169270075,18.035338224620784,Entire home/apt,1198,45,2,2018-07-31,0.48,1,56
24828610,Top floor with large balcony,3140855,Thor,,Hägersten-Liljeholmens,59.31673562038184,17.998510838514242,Entire home/apt,1396,6,0,,,1,18
24837011,2 room appartement. Spacious and clean.,412283,Fredric,,Norrmalms,59.33937423212177,18.029557362503354,Entire home/apt,1099,1,1,2018-10-04,0.63,2,10
24837139,Boende med utsikt i Stockholm,69818875,Emmelie,,Södermalms,59.3115447463045,18.080265104552137,Entire home/apt,702,1,14,2018-11-04,2.35,1,109
24839874,Lugnt rum i utkanten av Östermalm,187783974,Cecilia,,Östermalms,59.373156523362745,18.054124445709956,Private room,549,1,12,2018-09-02,1.95,1,350
24842033,"Villa with swimming pool, 20 minutes from the city",170796538,Hampus,,Älvsjö,59.26720163251851,17.9750667635672,Entire home/apt,1504,1,1,2018-07-31,0.27,1,105
24843083,Comfortable and Bright apartment! SOLO or COUPLE?,172795134,Gabriela,,Skarpnäcks,59.28036848073949,18.125505519858926,Private room,504,1,28,2018-11-11,4.54,1,358
24848793,Charming private big room Hornstull - Södermalm,89564856,Michael,,Södermalms,59.31657891132484,18.044152505062254,Private room,486,2,19,2018-10-01,3.08,2,0
24851739,Odenplan apartment,187863443,Ebba,,Norrmalms,59.34535852352785,18.052893642968687,Entire home/apt,1000,2,25,2018-10-29,4.01,1,192
24852971,Nice prize apartment,39158665,Fia,,Östermalms,59.349672498154604,18.06284496972333,Private room,991,3,5,2018-09-02,0.83,1,363
24862020,"Cosy apartment in SoFo, Södermalm.",73792784,Jessica,,Södermalms,59.31237029468381,18.078139532171033,Entire home/apt,1000,2,2,2018-08-17,0.54,1,0
24862068,Boende i vackra Vasastan,63264652,Josefin,,Norrmalms,59.34749526355015,18.043315668343194,Entire home/apt,801,3,1,2018-07-16,0.23,1,0
24865868,Holiday in trendy SoFo? Studio perfect for couple,66689365,Felicia,,Södermalms,59.314113112248606,18.09053689000746,Entire home/apt,693,2,13,2018-10-28,2.07,1,9
24869563,2 Bedroom apartment- Best Location in Stockholm,136503930,Prince,,Enskede-Årsta-Vantörs,59.26328586731548,18.049693092248724,Entire home/apt,900,2,8,2018-10-22,1.23,1,357
24870607,Charming apartment at best location in Södermalm,29362893,Johan,,Södermalms,59.31416397211155,18.06098247516389,Entire home/apt,1099,5,4,2018-08-13,0.70,1,11
24872046,Great studio apartment in Kungsholmen,25876296,Linh,,Kungsholmens,59.33304767648096,18.001924418635845,Entire home/apt,450,6,3,2018-08-20,0.48,1,88
24876881,Modern studio in Stockholm,54988683,Clara,,Bromma,59.33212049738345,17.96613310088614,Entire home/apt,540,180,19,2018-09-05,3.06,1,79
24881194,Nice apartment close to Stockholm City,129225769,Dina,,Hägersten-Liljeholmens,59.29915596393531,18.00716120106492,Entire home/apt,603,5,1,2018-05-21,0.16,1,5
24882447,"HOUSE IN STOCKHOLM, PERFECT FOR 2",188111693,Hugo,,Spånga-Tensta,59.37105401459424,17.9091974442335,Entire home/apt,504,1,43,2018-10-31,6.72,1,71
24882765,Nice two room flat in calm residencial area,188114549,Svante,,Hägersten-Liljeholmens,59.29959392855827,17.969652853168657,Entire home/apt,594,5,14,2018-10-31,2.58,1,46
24885374,Central and stylish T2 flat with sunny balcony,39710479,Johan,,Norrmalms,59.343730430406595,18.055305313864853,Entire home/apt,1000,2,6,2018-09-01,0.91,1,0
24885446,Kungsholmen sunny top floor flat!,28189264,Melodie,,Kungsholmens,59.336306689971025,18.02275339080848,Entire home/apt,801,5,1,2018-06-19,0.19,1,203
24885593,Luxurious 18th Century apartment - Östermalm,182750915,Nvin,,Östermalms,59.33316297094161,18.082099708089544,Entire home/apt,1999,3,10,2018-09-05,1.62,1,50
24886920,Bedroom for rent,175044370,Tekla,,Enskede-Årsta-Vantörs,59.25781601087914,18.026169189575032,Private room,288,7,3,2018-09-07,0.60,1,180
24887453,"Stort rum och Prisvärt rent boende nära city,",101361964,Cecilia,,Enskede-Årsta-Vantörs,59.301953388489814,18.04474474125214,Private room,396,1,23,2018-11-18,3.71,1,152
24888842,Mysig lägenhet nära kommunikationer,188162647,Annika,,Hässelby-Vällingby,59.37741250318366,17.83588584992274,Entire home/apt,315,2,31,2018-11-15,4.84,1,111
24888863,Apartment in the heart of Södermalm!,35462052,Sandra,,Södermalms,59.313884607668435,18.07662060015072,Entire home/apt,1954,7,0,,,1,0
24891240,Family apartment with a view -Hornstull/Södermalm,188181705,Sofia,,Södermalms,59.317742774229636,18.03211632252187,Entire home/apt,1504,5,3,2018-07-25,0.56,1,103
24896726,Cosy apartment for 3 by Hornstull,6894690,Liisa,,Södermalms,59.31868369022984,18.031108762216792,Entire home/apt,873,3,11,2018-11-04,2.43,3,0
24898204,Modern seaside apartment in a beautiful location,55286826,Hanna,,Hägersten-Liljeholmens,59.313238657382236,17.991978802695474,Entire home/apt,720,3,3,2018-07-10,0.51,1,0
24901123,Be sunny and cozy in hip Hornstull! With balcony!,32506766,Angie,,Södermalms,59.31733873563702,18.044258474831203,Entire home/apt,1099,2,17,2018-10-07,2.60,1,21
24908195,"Beautiful 1,5 room apartment, 5min to subway.",15095603,Cecilia,,Bromma,59.33707418255354,17.9811042394835,Entire home/apt,603,28,1,2018-06-14,0.19,1,0
24912342,Charmig och fräsch lägenhet i mysigt villakvarter,19642741,Cecilia,,Skarpnäcks,59.28273825287575,18.100883586506992,Entire home/apt,801,3,0,,,1,94
24928402,Bright studio on 25 sqm,22598024,Linnéa,,Enskede-Årsta-Vantörs,59.28232089084128,18.0419585123678,Entire home/apt,450,1,8,2018-10-07,1.36,1,17
24930878,"Room with private balcony, 2 min from subway&beach",12437724,Tobias & Åsa,,Södermalms,59.31568206010276,18.03974846478974,Private room,513,2,10,2018-08-27,1.57,1,313
24939884,4 room apartment with balcony close to the sea,68778645,David,,Hägersten-Liljeholmens,59.30673039246485,17.986391203846715,Entire home/apt,945,6,1,2018-05-11,0.15,1,0
